,Id,Top-Left,Bottom-Right,Centre,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box,Cluster
0,0,"(290, 85)","(435, 147)","[362.5, 116.0]","[362.5, 85]","[362.5, 147]","[290, 116.0]","[435, 116.0]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",9
1,1,"(563, 82)","(730, 147)","[646.5, 114.5]","[646.5, 82]","[646.5, 147]","[563, 114.5]","[730, 114.5]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",8
2,2,"(744, 92)","(940, 140)","[842.0, 116.0]","[842.0, 92]","[842.0, 140]","[744, 116.0]","[940, 116.0]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",10
3,3,"(1163, 92)","(1184, 147)","[1173.5, 119.5]","[1173.5, 92]","[1173.5, 147]","[1163, 119.5]","[1184, 119.5]","[110.59950271135942, 4]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",1
4,4,"(1218, 79)","(1344, 157)","[1281.0, 118.0]","[1281.0, 79]","[1281.0, 157]","[1218, 118.0]","[1344, 118.0]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",1
5,5,"(1385, 92)","(1511, 144)","[1448.0, 118.0]","[1448.0, 92]","[1448.0, 144]","[1385, 118.0]","[1511, 118.0]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",2
6,6,"(1646, 79)","(1813, 154)","[1729.5, 116.5]","[1729.5, 79]","[1729.5, 154]","[1646, 116.5]","[1813, 116.5]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",12
7,7,"(1834, 79)","(1897, 140)","[1865.5, 109.5]","[1865.5, 79]","[1865.5, 140]","[1834, 109.5]","[1897, 109.5]","[90.30642280591121, 8]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",11
8,8,"(1907, 82)","(1994, 137)","[1950.5, 109.5]","[1950.5, 82]","[1950.5, 137]","[1907, 109.5]","[1994, 109.5]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",11
9,9,"(2127, 89)","(2195, 144)","[2161.0, 116.5]","[2161.0, 89]","[2161.0, 144]","[2127, 116.5]","[2195, 116.5]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",18
10,10,"(406, 208)","(488, 280)","[447.0, 244.0]","[447.0, 208]","[447.0, 280]","[406, 244.0]","[488, 244.0]","[112.31429116546121, 13]","[126.80891135878424, 12]","[159.55641635484298, 17]","[105.64326765109077, 11]",7
11,11,"(508, 212)","(679, 287)","[593.5, 249.5]","[593.5, 212]","[593.5, 287]","[508, 249.5]","[679, 249.5]","[119.7674830661478, 14]","[128.04100905569277, 18]","[84.59462157844315, 13]","[105.76034228386366, 15]",7
12,12,"(305, 287)","(348, 352)","[326.5, 319.5]","[326.5, 287]","[326.5, 352]","[305, 319.5]","[348, 319.5]","[122.00409829181969, 17]","[137.8849157812413, 13]","[175.71639081201275, 24]","[214.9534833400008, 18]",7
13,13,"(384, 287)","(537, 352)","[460.5, 319.5]","[460.5, 287]","[460.5, 352]","[384, 319.5]","[537, 319.5]","[143.22360140703069, 17]","[100.01249921884764, 18]","[170.23586578626725, 24]","[77.71261158911081, 14]",7
14,14,"(573, 294)","(655, 366)","[614.0, 330.0]","[614.0, 294]","[614.0, 366]","[573, 330.0]","[655, 330.0]","[128.17663593650755, 19]","[79.5062890594197, 18]","[152.55163060419906, 10]","[96.56345064256973, 15]",7
15,15,"(696, 294)","(807, 359)","[751.5, 326.5]","[751.5, 294]","[751.5, 359]","[696, 326.5]","[807, 326.5]","[119.87702031665619, 20]","[82.02438661763951, 21]","[83.32166584988565, 19]","[68.30995535059293, 16]",7
16,16,"(844, 304)","(906, 362)","[875.0, 333.0]","[875.0, 304]","[875.0, 362]","[844, 333.0]","[906, 333.0]","[130.61106384988983, 21]","[105.90207741116319, 22]","[129.9394089566364, 20]","[145.50085910399292, 38]",7
17,17,"(305, 369)","(440, 431)","[372.5, 400.0]","[372.5, 369]","[372.5, 431]","[305, 400.0]","[440, 400.0]","[119.57529008954985, 24]","[138.5442167685104, 32]","[239.73787769144866, 25]","[105.14394894619471, 18]",7
18,18,"(462, 373)","(628, 438)","[545.0, 405.5]","[545.0, 373]","[545.0, 438]","[462, 405.5]","[628, 405.5]","[118.87072810410476, 25]","[131.59502270222836, 33]","[133.61979643750396, 24]","[46.52418725781247, 19]",7
19,19,"(650, 373)","(699, 441)","[674.5, 407.0]","[674.5, 373]","[674.5, 441]","[650, 407.0]","[699, 407.0]","[78.71785058041155, 20]","[46.2709412050371, 26]","[148.6648916187006, 25]","[110.95156600967829, 21]",7
20,20,"(718, 376)","(766, 451)","[742.0, 413.5]","[742.0, 376]","[742.0, 451]","[718, 413.5]","[766, 413.5]","[78.97626225645273, 21]","[56.24277731406941, 27]","[82.97288713790789, 26]","[147.49237268414933, 28]",7
21,21,"(788, 383)","(831, 451)","[809.5, 417.0]","[809.5, 383]","[809.5, 451]","[788, 417.0]","[831, 417.0]","[112.79184367674819, 27]","[91.53414663392017, 28]","[129.12106721987703, 26]","[134.5, 22]",7
22,22,"(853, 379)","(1078, 455)","[965.5, 417.0]","[965.5, 379]","[965.5, 455]","[853, 417.0]","[1078, 417.0]","[97.29465555722986, 38]","[47.885279575251516, 29]","[81.92832233116945, 28]","[46.446205442425544, 23]",7
23,23,"(1100, 373)","(1146, 438)","[1123.0, 405.5]","[1123.0, 373]","[1123.0, 438]","[1100, 405.5]","[1146, 405.5]","[54.56418239101544, 39]","[71.28113354878694, 30]","[86.81157756889343, 38]","[95.61511386804912, 31]",7
24,24,"(305, 455)","(408, 520)","[356.5, 487.5]","[356.5, 455]","[356.5, 520]","[305, 487.5]","[408, 487.5]","[116.14861170070006, 32]","[128.55446316639495, 87]","[222.02026934494066, 25]","[163.97560794215707, 33]",7
25,25,"(433, 458)","(621, 523)","[527.0, 490.5]","[527.0, 458]","[527.0, 523]","[433, 490.5]","[621, 490.5]","[113.84748569907023, 33]","[156.69157603394, 26]","[97.41663102366043, 32]","[143.42245291445826, 20]",7
26,26,"(648, 458)","(711, 516)","[679.5, 487.0]","[679.5, 458]","[679.5, 516]","[648, 487.0]","[711, 487.0]","[106.56922632730333, 27]","[88.79470704946326, 34]","[128.10249802404323, 33]","[165.5309638708118, 15]",7
27,27,"(732, 458)","(829, 526)","[780.5, 492.0]","[780.5, 458]","[780.5, 526]","[732, 492.0]","[829, 492.0]","[116.56114275349225, 28]","[56.73182528352142, 34]","[102.62187875886896, 19]","[103.10310373601757, 35]",7
28,28,"(851, 461)","(935, 516)","[893.0, 488.5]","[893.0, 461]","[893.0, 516]","[851, 488.5]","[935, 488.5]","[102.06003135410062, 29]","[53.649324320069496, 35]","[132.90974381135493, 34]","[137.6117727521886, 36]",7
29,29,"(957, 468)","(1020, 526)","[988.5, 497.0]","[988.5, 468]","[988.5, 526]","[957, 497.0]","[1020, 497.0]","[98.84963328207141, 30]","[72.40511031688303, 36]","[94.10765112359356, 35]","[137.77245733454853, 23]",7
30,30,"(1042, 461)","(1124, 533)","[1083.0, 497.0]","[1083.0, 461]","[1083.0, 533]","[1042, 497.0]","[1124, 497.0]","[91.28526715741155, 31]","[55.509008277936296, 36]","[110.68988210310823, 22]","[82.365041127896, 37]",7
31,31,"(1143, 461)","(1189, 537)","[1166.0, 499.0]","[1166.0, 461]","[1166.0, 537]","[1143, 499.0]","[1189, 499.0]","[108.01851693112621, 37]","[127.0600251849495, 36]","[154.51294444155803, 29]","[179.25191770243353, 39]",7
32,32,"(312, 537)","(440, 602)","[376.0, 569.5]","[376.0, 537]","[376.0, 602]","[312, 569.5]","[440, 569.5]","[109.16501271011697, 87]","[177.00918055287414, 33]","[250.42014695307563, 12]","[194.7331507473753, 18]",7
33,33,"(481, 537)","(619, 602)","[550.0, 569.5]","[550.0, 537]","[550.0, 602]","[481, 569.5]","[619, 569.5]","[180.00069444310486, 19]","[173.6663467687393, 87]","[201.25232917906814, 17]","[129.0348790056394, 34]",7
34,34,"(660, 540)","(836, 605)","[748.0, 572.5]","[748.0, 540]","[748.0, 605]","[660, 572.5]","[836, 572.5]","[126.64221255173963, 20]","[153.1706564587356, 35]","[156.24659996300718, 25]","[157.74187776237483, 21]",7
35,35,"(851, 537)","(943, 602)","[897.0, 569.5]","[897.0, 537]","[897.0, 602]","[851, 569.5]","[943, 569.5]","[138.1747082500991, 22]","[149.9308173792166, 36]","[158.0458794148079, 21]","[157.6586502542756, 30]",7
36,36,"(981, 543)","(1107, 602)","[1044.0, 572.5]","[1044.0, 543]","[1044.0, 602]","[981, 572.5]","[1107, 572.5]","[122.78436382536663, 37]","[200.96579310917568, 22]","[216.056705519639, 27]","[167.7647161950331, 23]",7
37,37,"(1134, 540)","(1194, 598)","[1164.0, 569.0]","[1164.0, 540]","[1164.0, 598]","[1134, 569.0]","[1194, 569.0]","[140.61027700705236, 23]","[202.48765394462941, 29]","[226.92785197062082, 22]","[248.7895697170603, 39]",7
38,38,"(1032, 308)","(1071, 359)","[1051.5, 333.5]","[1051.5, 308]","[1051.5, 359]","[1032, 333.5]","[1071, 333.5]","[97.90045965162778, 39]","[141.54946132006296, 30]","[169.1877655151223, 29]","[190.8278019576812, 31]",7
39,39,"(1107, 297)","(1189, 352)","[1148.0, 324.5]","[1148.0, 297]","[1148.0, 352]","[1107, 324.5]","[1189, 324.5]","[210.2974084481309, 30]","[193.72983766059372, 22]","[209.2809116952619, 29]","[287.27861041156547, 36]",7
40,40,"(1385, 304)","(1462, 355)","[1423.5, 329.5]","[1423.5, 304]","[1423.5, 355]","[1385, 329.5]","[1462, 329.5]","[77.88452991448301, 41]","[65.82742589529079, 50]","[168.6097565385823, 80]","[96.21980045707848, 42]",17
41,41,"(1477, 291)","(1520, 359)","[1498.5, 325.0]","[1498.5, 291]","[1498.5, 359]","[1477, 325.0]","[1520, 325.0]","[67.55923326977594, 42]","[58.4144673860851, 50]","[156.32098387612587, 51]","[128.5, 43]",17
42,42,"(1535, 291)","(1581, 355)","[1558.0, 323.0]","[1558.0, 291]","[1558.0, 355]","[1535, 323.0]","[1581, 323.0]","[96.67600529604023, 43]","[73.20689858203255, 51]","[109.28174595969814, 50]","[159.31415505221122, 44]",17
43,43,"(1593, 291)","(1704, 359)","[1648.5, 325.0]","[1648.5, 291]","[1648.5, 359]","[1593, 325.0]","[1704, 325.0]","[100.678945167299, 44]","[59.73692325521963, 51]","[152.16602774601168, 50]","[83.45208205910743, 52]",17
44,44,"(1723, 304)","(1757, 362)","[1740.0, 333.0]","[1740.0, 304]","[1740.0, 362]","[1723, 333.0]","[1757, 333.0]","[102.46096817813113, 52]","[107.09458436354286, 45]","[133.41757755258487, 51]","[111.71951485752165, 53]",17
45,45,"(1781, 291)","(1900, 359)","[1840.5, 325.0]","[1840.5, 291]","[1840.5, 359]","[1781, 325.0]","[1900, 325.0]","[114.50982490598787, 53]","[112.80514172678478, 54]","[97.49487166000065, 52]","[64.03124237432849, 46]",17
46,46,"(1917, 291)","(2011, 355)","[1964.0, 323.0]","[1964.0, 291]","[1964.0, 355]","[1917, 323.0]","[2011, 323.0]","[105.57698612860665, 47]","[54.03933752369657, 54]","[111.4955156048888, 53]","[111.12380483046826, 55]",17
47,47,"(2025, 304)","(2098, 359)","[2061.5, 331.5]","[2061.5, 304]","[2061.5, 359]","[2025, 331.5]","[2098, 331.5]","[98.84331034521254, 48]","[54.55501810099599, 55]","[109.74743732771167, 54]","[129.40247292845683, 56]",17
48,48,"(2115, 291)","(2202, 355)","[2158.5, 323.0]","[2158.5, 291]","[2158.5, 355]","[2115, 323.0]","[2202, 323.0]","[96.92393925135318, 49]","[68.95288246331694, 56]","[94.42722065167438, 55]","[107.82045260524553, 57]",17
49,49,"(2224, 291)","(2277, 352)","[2250.5, 321.5]","[2250.5, 291]","[2250.5, 352]","[2224, 321.5]","[2277, 321.5]","[120.37649272179348, 57]","[74.46139939592862, 56]","[162.80740155164938, 47]","[185.18099254513137, 86]",17
50,50,"(1385, 369)","(1544, 444)","[1464.5, 406.5]","[1464.5, 369]","[1464.5, 444]","[1385, 406.5]","[1544, 406.5]","[132.02745926510894, 80]","[75.44700126578923, 81]","[164.24752661760238, 58]","[67.00746227100382, 51]",17
51,51,"(1564, 373)","(1658, 438)","[1611.0, 405.5]","[1611.0, 373]","[1611.0, 438]","[1564, 405.5]","[1658, 405.5]","[119.5041840271712, 52]","[54.68546424782366, 82]","[107.12259332185718, 81]","[90.18037480516479, 83]",17
52,52,"(1680, 373)","(1772, 438)","[1726.0, 405.5]","[1726.0, 373]","[1726.0, 438]","[1680, 405.5]","[1772, 405.5]","[120.46680040575495, 53]","[68.71862920635131, 83]","[108.30166203710819, 82]","[124.58029539216867, 84]",17
53,53,"(1796, 373)","(1888, 438)","[1842.0, 405.5]","[1842.0, 373]","[1842.0, 438]","[1796, 405.5]","[1888, 405.5]","[106.4248561192356, 54]","[53.91196527673611, 84]","[141.91018286225975, 83]","[160.60510577189007, 85]",17
54,54,"(1912, 376)","(1975, 434)","[1943.5, 405.0]","[1943.5, 376]","[1943.5, 434]","[1912, 405.0]","[1975, 405.0]","[133.29009715654047, 84]","[98.70410325817261, 85]","[161.24670539269943, 64]","[104.64463674742247, 55]",17
55,55,"(2001, 390)","(2158, 431)","[2079.5, 410.5]","[2079.5, 390]","[2079.5, 431]","[2001, 410.5]","[2158, 410.5]","[117.040591249361, 85]","[124.10680883819388, 86]","[153.12494897958334, 84]","[44.04543109109048, 56]",17
56,56,"(2185, 376)","(2219, 441)","[2202.0, 408.5]","[2202.0, 376]","[2202.0, 441]","[2185, 408.5]","[2219, 408.5]","[71.82791936287727, 57]","[45.83939353874569, 86]","[156.53833396328199, 66]","[213.24164696418944, 85]",17
57,57,"(2253, 390)","(2277, 431)","[2265.0, 410.5]","[2265.0, 390]","[2265.0, 431]","[2253, 410.5]","[2277, 410.5]","[120.81494112898454, 86]","[165.20593209688326, 66]","[173.5, 55]","[229.52396389048357, 47]",17
58,58,"(1387, 537)","(1448, 598)","[1417.5, 567.5]","[1417.5, 537]","[1417.5, 598]","[1387, 567.5]","[1448, 567.5]","[43.23482392701513, 80]","[52.33784481615574, 67]","[107.11675872616759, 59]","[94.39941737108339, 81]",17
59,59,"(1453, 537)","(1535, 608)","[1494.0, 572.5]","[1494.0, 537]","[1494.0, 608]","[1453, 572.5]","[1535, 572.5]","[41.862871377868956, 81]","[66.42665127793211, 68]","[77.24797731979783, 67]","[29.832867780352597, 60]",17
60,60,"(1542, 533)","(1586, 598)","[1564.0, 565.5]","[1564.0, 533]","[1564.0, 598]","[1542, 565.5]","[1586, 565.5]","[59.21570737566174, 81]","[48.708315511830214, 68]","[89.6688351658479, 61]","[78.73531609131953, 82]",17
61,61,"(1590, 540)","(1673, 602)","[1631.5, 571.0]","[1631.5, 540]","[1631.5, 602]","[1590, 571.0]","[1673, 571.0]","[50.12235030403104, 82]","[78.16968721953542, 69]","[83.91960438419619, 68]","[38.05259518088089, 62]",17
62,62,"(1677, 540)","(1745, 598)","[1711.0, 569.0]","[1711.0, 540]","[1711.0, 598]","[1677, 569.0]","[1745, 569.0]","[55.319526389874305, 83]","[56.77367347635698, 69]","[98.15548889389731, 82]","[69.00181157042184, 63]",17
63,63,"(1755, 537)","(1873, 602)","[1814.0, 569.5]","[1814.0, 537]","[1814.0, 602]","[1755, 569.5]","[1873, 569.5]","[74.25967950375224, 84]","[46.810789354592174, 70]","[103.40696301506973, 69]","[54.646591842492796, 64]",17
64,64,"(1880, 533)","(1975, 598)","[1927.5, 565.5]","[1927.5, 533]","[1927.5, 598]","[1880, 565.5]","[1975, 565.5]","[76.52613932506983, 84]","[60.16851336039474, 71]","[98.73702446397704, 70]","[44.91102314577124, 65]",17
65,65,"(1984, 547)","(2054, 602)","[2019.0, 574.5]","[2019.0, 547]","[2019.0, 602]","[1984, 574.5]","[2054, 574.5]","[54.646591842492796, 85]","[45.47801666739657, 72]","[103.40817182408747, 71]","[99.71208552627911, 73]",17
66,66,"(2064, 533)","(2270, 595)","[2167.0, 564.0]","[2167.0, 533]","[2167.0, 595]","[2064, 564.0]","[2270, 564.0]","[53.21888762460185, 86]","[67.03170891451299, 73]","[46.20876540224809, 65]","[81.27115109311545, 74]",17
67,67,"(1385, 608)","(1484, 687)","[1434.5, 647.5]","[1434.5, 608]","[1434.5, 687]","[1385, 647.5]","[1484, 647.5]","[114.68325945838826, 80]","[52.31873469418006, 75]","[164.52735334891887, 68]","[114.56002793295748, 60]",17
68,68,"(1499, 612)","(1600, 677)","[1549.5, 644.5]","[1549.5, 612]","[1549.5, 677]","[1499, 644.5]","[1600, 644.5]","[116.86423747237647, 81]","[96.99097896196326, 75]","[112.12158578971312, 58]","[92.26592003551474, 69]",17
69,69,"(1624, 619)","(1760, 684)","[1692.0, 651.5]","[1692.0, 619]","[1692.0, 684]","[1624, 651.5]","[1760, 651.5]","[127.284130982617, 83]","[78.14249804043892, 76]","[104.86181383134664, 60]","[65.12296062065974, 70]",17
70,70,"(1779, 615)","(1871, 680)","[1825.0, 647.5]","[1825.0, 615]","[1825.0, 680]","[1779, 647.5]","[1871, 647.5]","[107.01868995647442, 71]","[52.36888389110465, 78]","[84.64632301523794, 77]","[88.18304825758747, 79]",17
71,71,"(1888, 622)","(1958, 694)","[1923.0, 658.0]","[1923.0, 622]","[1923.0, 694]","[1888, 658.0]","[1958, 658.0]","[87.84218804196534, 72]","[37.57658845611187, 79]","[90.90929545431534, 78]","[165.93447501950882, 73]",17
72,72,"(1977, 615)","(2038, 677)","[2007.5, 646.0]","[2007.5, 615]","[2007.5, 677]","[1977, 646.0]","[2038, 646.0]","[94.07576733675894, 64]","[112.69982253757102, 79]","[146.5, 73]","[152.85614151874958, 66]",17
73,73,"(2064, 619)","(2183, 673)","[2123.5, 646.0]","[2123.5, 619]","[2123.5, 673]","[2064, 646.0]","[2183, 646.0]","[122.49183646268024, 74]","[199.27995383379633, 86]","[158.4692399174048, 64]","[221.72561872729096, 85]",17
74,74,"(2209, 605)","(2279, 677)","[2244.0, 641.0]","[2244.0, 605]","[2244.0, 677]","[2209, 641.0]","[2279, 641.0]","[130.72585819186654, 86]","[238.52305968186806, 72]","[201.30139095396237, 65]","[230.92477130009246, 57]",17
75,75,"(1397, 697)","(1537, 759)","[1467.0, 728.0]","[1467.0, 697]","[1467.0, 759]","[1397, 728.0]","[1537, 728.0]","[127.39407364551931, 59]","[171.55538464297763, 76]","[161.80389364907137, 58]","[164.72780578882242, 60]",17
76,76,"(1559, 714)","(1716, 766)","[1637.5, 740.0]","[1637.5, 714]","[1637.5, 766]","[1559, 740.0]","[1716, 740.0]","[112.13496332544993, 68]","[125.90671149704451, 77]","[155.10157961800388, 67]","[118.80446119569753, 78]",17
77,77,"(1735, 697)","(1781, 762)","[1758.0, 729.5]","[1758.0, 697]","[1758.0, 762]","[1735, 729.5]","[1781, 729.5]","[80.16389461596785, 69]","[82.35593481953805, 78]","[162.28447245500723, 62]","[126.00892825510421, 79]",17
78,78,"(1796, 694)","(1873, 769)","[1834.5, 731.5]","[1834.5, 694]","[1834.5, 769]","[1796, 731.5]","[1873, 731.5]","[80.07652589866771, 79]","[184.69569567263878, 69]","[162.9969324864735, 63]","[159.3753431368855, 72]",17
79,79,"(1885, 694)","(1929, 762)","[1907.0, 728.0]","[1907.0, 694]","[1907.0, 762]","[1885, 728.0]","[1929, 728.0]","[130.12493996156155, 64]","[213.78786214376157, 63]","[203.76027581449728, 65]","[211.07877676355812, 73]",17
80,80,"(1387, 455)","(1457, 533)","[1422.0, 494.0]","[1422.0, 455]","[1422.0, 533]","[1387, 494.0]","[1457, 494.0]","[103.08491645240831, 81]","[82.12338278468563, 59]","[190.8959140474201, 60]","[158.50709763288205, 82]",17
81,81,"(1465, 468)","(1564, 533)","[1514.5, 500.5]","[1514.5, 468]","[1514.5, 533]","[1465, 500.5]","[1564, 500.5]","[103.92906234542868, 82]","[123.01625908797584, 61]","[150.1307763251759, 67]","[119.80191985106082, 83]",17
82,82,"(1578, 472)","(1653, 513)","[1615.5, 492.5]","[1615.5, 472]","[1615.5, 513]","[1578, 492.5]","[1653, 492.5]","[70.8801805866774, 83]","[135.28673253501248, 59]","[142.40172049522437, 50]","[163.71316379570703, 69]",17
83,83,"(1668, 458)","(1699, 526)","[1683.5, 492.0]","[1683.5, 458]","[1683.5, 526]","[1668, 492.0]","[1699, 492.0]","[124.39051410778879, 61]","[125.85904814513735, 60]","[165.29443426806603, 63]","[164.20109622045769, 44]",17
84,84,"(1801, 455)","(1934, 516)","[1867.5, 485.5]","[1867.5, 455]","[1867.5, 516]","[1801, 485.5]","[1934, 485.5]","[132.7742444904131, 45]","[138.19732269476134, 70]","[117.67964989750777, 83]","[89.27485648266257, 85]",17
85,85,"(1948, 472)","(2098, 513)","[2023.0, 492.5]","[2023.0, 472]","[2023.0, 513]","[1948, 492.5]","[2098, 492.5]","[133.65066404623659, 64]","[133.9001493651146, 72]","[154.5477272560163, 63]","[93.26306878931231, 86]",17
86,86,"(2110, 455)","(2272, 516)","[2191.0, 485.5]","[2191.0, 455]","[2191.0, 516]","[2110, 485.5]","[2272, 485.5]","[135.94208325606903, 48]","[181.67622299024163, 65]","[161.45665052886486, 47]","[309.3872977353789, 72]",17
87,87,"(307, 615)","(457, 677)","[382.0, 646.0]","[382.0, 615]","[382.0, 677]","[307, 646.0]","[457, 646.0]","[191.11580259099455, 25]","[277.16285826206945, 17]","[327.0817940515797, 12]","[256.0942209422149, 18]",7
88,88,"(411, 793)","(556, 854)","[483.5, 823.5]","[483.5, 793]","[483.5, 854]","[411, 823.5]","[556, 823.5]","[128.02050616991013, 89]","[90.37975437010216, 95]","[169.37015675732252, 101]","[93.60555539069249, 96]",3
89,89,"(580, 796)","(633, 861)","[606.5, 828.5]","[606.5, 796]","[606.5, 861]","[580, 828.5]","[633, 828.5]","[118.46729506492498, 96]","[130.54692642877504, 102]","[162.09333730909484, 90]","[141.6483321469053, 97]",3
90,90,"(662, 796)","(822, 872)","[742.0, 834.0]","[742.0, 796]","[742.0, 872]","[662, 834.0]","[822, 834.0]","[114.68434941176587, 97]","[121.91082806707531, 104]","[109.96022007980886, 96]","[49.30770730829005, 91]",3
91,91,"(848, 796)","(894, 861)","[871.0, 828.5]","[871.0, 796]","[871.0, 861]","[848, 828.5]","[894, 828.5]","[96.91491113342673, 92]","[52.0, 98]","[128.93506117422058, 97]","[119.8968306503554, 99]",3
92,92,"(909, 796)","(1010, 875)","[959.5, 835.5]","[959.5, 796]","[959.5, 875]","[909, 835.5]","[1010, 835.5]","[100.37180879111425, 93]","[41.93149174546501, 99]","[75.67198953377662, 98]","[136.5448644219181, 94]",3
93,93,"(1030, 800)","(1076, 865)","[1053.0, 832.5]","[1053.0, 800]","[1053.0, 865]","[1030, 832.5]","[1076, 832.5]","[101.30769960866745, 94]","[85.4005269304587, 100]","[92.5378301020723, 99]","[172.05885620914722, 106]",3
94,94,"(1097, 813)","(1196, 865)","[1146.5, 839.0]","[1146.5, 813]","[1146.5, 865]","[1097, 839.0]","[1196, 839.0]","[105.99056561788883, 100]","[136.98357565781382, 107]","[136.5283853270081, 99]","[231.78006816808042, 115]",3
95,95,"(314, 875)","(498, 926)","[406.0, 900.5]","[406.0, 875]","[406.0, 926]","[314, 900.5]","[498, 900.5]","[119.47593900028575, 101]","[148.78339961165022, 108]","[250.1204709734891, 116]","[87.82368700982668, 96]",3
96,96,"(539, 892)","(631, 933)","[585.0, 912.5]","[585.0, 892]","[585.0, 933]","[539, 912.5]","[631, 912.5]","[101.11503350145318, 102]","[117.47872147755099, 103]","[132.6018476492692, 101]","[117.51702004390683, 97]",3
97,97,"(670, 878)","(827, 943)","[748.5, 910.5]","[748.5, 878]","[748.5, 943]","[670, 910.5]","[827, 910.5]","[114.28473213863697, 104]","[76.3053078101386, 103]","[105.11898020814318, 102]","[64.01757571167468, 98]",3
98,98,"(868, 878)","(914, 940)","[891.0, 909.0]","[891.0, 878]","[891.0, 940]","[868, 909.0]","[914, 909.0]","[95.85927185202274, 99]","[58.00215513237418, 105]","[118.63072957712096, 104]","[130.59862173851607, 106]",3
99,99,"(947, 875)","(1015, 947)","[981.0, 911.0]","[981.0, 875]","[981.0, 947]","[947, 911.0]","[1015, 911.0]","[122.5275479229059, 106]","[103.88094146666172, 105]","[168.01264833339187, 113]","[106.61730628748786, 100]",3
100,100,"(1047, 878)","(1196, 954)","[1121.5, 916.0]","[1121.5, 878]","[1121.5, 954]","[1047, 916.0]","[1196, 916.0]","[124.23566315676027, 107]","[114.35580440012654, 106]","[118.8970142602412, 92]","[155.16765126791086, 115]",3
101,101,"(324, 954)","(541, 1029)","[432.5, 991.5]","[432.5, 954]","[432.5, 1029]","[324, 991.5]","[541, 991.5]","[128.04784262142022, 108]","[85.86763068817027, 109]","[158.6040667826648, 116]","[62.0, 102]",3
